Kundenname;IP-Adresse;Port;Seriennummer;Firmware;FortiCare;FortiGuard;AV-DB;FortiManager;Local-in-policy;Uptime;SSIDs;AP-Name;AP-Serials;AP-Firmware
Bachmann und Partner;83.173.194.54;8443;FG100C3G10608388;v5.2.10;;22.03.2018;53.00273;unknown;False;;Guggital++;AP01;FP221C3X14023160;FP221C-v5.2-build0262
EFZ;213.200.213.80;8443;FGT60D4614051465;v5.2.10;;26.02.2018;53.00275;unknown;False;;None;None;None;None
EFZ;109.164.213.30;8443;FGT70D3Z14000785;v5.2.10;;26.02.2018;53.00276;unknown;False;;EFZ-Gast,EFZ-intern;AP-Sommervoegel,AP-Brandschutztuere,AP-Kindergarten,AP-Empfang,AP-Fliegenpilz,AP-Delfin,AP-Geschaeftsstelle,AP-Schwalbe,AP-Sterne;FP221C3X16025877,FP221C3X16025879,FP221C3X16025888,FP221C3X16025897,FP221C3X16025898,FP221C3X16025903,FP221C3X16025904,FP221C3X16025918,FP221C3X16025928;FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
KT Trading;212.4.67.146;8443;FG100C3G10601509;v5.2.10;;07.12.2017;53.00275;unknown;False;;None;None;None;None
Landtwing Telefon und Elektro AG;46.14.169.146;8443;FGT60D4613039816;v5.2.10;;13.07.2018;53.00289;unknown;False;;None;None;None;None
Liebfrauenschwestern;46.14.102.246;8443;FWF60D4613004790;v5.2.10;;09.07.2019;53.00275;unknown;False;;None;None;None;None
Montana;82.136.105.19;8443;FG100D3G13825334;v5.2.10;;27.10.2018;53.00289;unknown;False;;Montana-Zug;ZB-AP20,ZB-AP01,ZB-AP02,ZB-AP08,ZB-AP05,ZB-AP04,ZB-AP09,ZB-AP10,ZB-AP12,ZB-AP03,ZB-AP06,ZB-AP07,ZB-AP11,ZB-AP15,ZB-AP13,ZB-AP14,ZB-AP16,ZB-AP17,ZB-AP18,ZB-AP19,ZB-AP22,ZB-AP21;FAP2223X11000238,FP221B3X13007926,FP221B3X13030292,FP221C3X14000366,FP221C3X14000367,FP221C3X14000398,FP221C3X14000402,FP221C3X14000406,FP221C3X14000407,FP221C3X14000412,FP221C3X14000414,FP221C3X14000430,FP221C3X14000438,FP221C3X14000439,FP221C3X14000440,FP221C3X14000456,FP221C3X14004381,FP221C3X14004526,FP221C3X14027553,FP221C3X15007656,FP221C3X15021196,FP221C3X15021380;FAP222-v5.2-build0262,FP221B-v5.2-build0262,FP221B-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
Paramed Akademie AG;217.194.55.93;8443;FG100D3G12808090;v5.2.10;;15.12.2018;53.00289;unknown;False;;None;None;None;None
Parkinson;83.173.213.70;8443;FGT60D4615061926;v5.2.10;;13.11.2018;53.00288;unknown;False;;None;None;None;None
VIC CHGEGE;213.200.193.29;8443;FGT60C3G14009041;v5.2.10;;21.07.2019;53.00288;unknown;False;;None;None;None;None
Blättler AG (ITS4Biz);46.14.49.206;8443;FGT60C3G12029562;v5.2.11;;01.05.2018;53.00273;unknown;False;;None;None;None;None
Claraspital;217.168.45.242;8443;FGT3HD3916800997;v5.2.11;;08.07.2021;53.00289;unknown;False;;None;None;None;None
Fiscom Treuhand;46.14.180.66;8443;FGT60C3G12017982;v5.2.11;;26.10.2018;53.00289;unknown;False;;None;None;None;None
Trigon;217.194.58.5;8443;FGT60D4613002395;v5.2.11;;05.04.2018;52.0026;unknown;False;;None;None;None;None
Wohnheim Schmetterling-01;82.136.112.117;8443;FGT60C3G10025349;v5.2.11;;09.01.2018;53.00273;unknown;False;;None;None;None;None
Wohnheim Schmetterling-02;46.14.86.82;8443;FGT60C3G11030008;v5.2.11;;08.01.2018;24.00916;unknown;False;;Schmetterling;ap02;FP221C3X14000410;FP221C-v5.2-build638
Wohnheim Schmetterling-02;46.14.86.82;8443;FGT60C3G11030008;v5.2.11;;08.01.2018;24.00916;unknown;False;;Schmetterling;ap02;FP221C3X14000410;FP221C-v5.2-build638
African Greenland Safaris Travel GmbH;213.200.236.182;8443;FGT40C3912013440;v5.2.12;;22.09.2018;53.00277;unknown;False;;AFGR_WORK,AFGR_GUEST;ACPAFGR-FORT-02,ACPAFGR-FORT-01;FP221C3X16008643,FP221C3X16008677;FP221C-v5.2-build0262,FP221C-v5.2-build0262
Kantonales Sozialamt Asyl (Dorfring);213.3.24.138;8443;FGT60D4613003811;v5.2.12;;25.07.2017;16.0056;unknown;False;;zg-dorfring;ap-zg-dr-01,ap-zg-dr-02,ap-zg-dr-03;FP221B3X13006639,FP221B3X13006761,FP221B3X13007041;FP221B-v5.2-build0245,FP221B-v5.2-build0245,FP221B-v5.2-build0245
VIC CNHK09;223.255.153.26;8443;FGT60C3G10020992;v5.2.12;;02.10.2019;53.00289;unknown;False;;None;None;None;None
VIC de-wa-fw001;80.149.239.74;8443;FGT60C3G10012257;v5.2.12;;06.11.2015;16.0056;unknown;False;;None;None;None;None
VIC DESHNM;213.148.157.15;8443;FGT60C3G12004265;v5.2.12;;02.01.2018;53.00289;unknown;False;;None;None;None;None
VIC USNYSO;108.12.156.66;8443;FGT60C3G12016349;v5.2.12;;01.01.2018;53.0028;unknown;False;;None;None;None;None
Anderhub Druck-Service AG;212.4.72.122;8443;FG100D3G13803664;v5.2.3;;14.05.2018;53.00277;unknown;False;;AH-Internet,AH-GUEST,AH-SDVC,AH;ap01-buero,ap02-buero;FP221B3X13006882,FP221B3X13006967;FP221B-v5.2-build0234,FP221B-v5.2-build0234
Claudio Jung;46.14.228.120;8443;FGT60D4614069425;v5.2.3;;15.04.2018;53.00288;unknown;False;;WLCJGAST;FAP221C-CJUNG01;FP221C3X14042674;FP221C-v5.2-build0234
HAWE Hydratec;37.128.178.50;8443;FGT60D4613046264;v5.2.3;;17.12.2016;52.00293;unknown;False;;Guest,Company;FP221C3X14021299,FP221C3X14021741;FP221C3X14021299,FP221C3X14021741;FP221C-v5.2-build0262,FP221C-v5.2-build0262
Hotz & Goldmann;46.14.173.82;8443;FGT60C3G10018395;v5.2.3;;25.01.2017;42.00326;unknown;False;;HG-Gast;ap02-sitzung-gross,ap01-sitzung-klein,ap03-archiv;FP221B3X12000772,FP221B3X12000780,FP221B3X12000991;FP221B-v5.0-build060,FP221B-v5.0-build060,FP221B-v5.0-build060
Jacquemai;188.63.27.80;8443;FGT70D3Z14001448;v5.2.3;;27.05.2018;53.00273;unknown;False;;mmwlan;AP09,AP03,AP02,AP08,AP10,AP04,error,AP01,AP05,AP06,AP07;FP221C3X14027677,FP221C3X15001463,FP221C3X15001737,FP221C3X15001877,FP221C3X15002168,FP221C3X15002172,FP224D3X14001940,FP224D3X14002922,FP321C3X14000237,FP321C3X14000368;FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP224D-v5.2-build0225,FP224D-v5.2-build0225,FP321C-v5.2-build4112,FP321C-v5.2-build4112
Meetinvest;188.63.27.80;8443;FGT70D3Z14001448;v5.2.3;;27.05.2018;53.00273;unknown;False;;mmwlan;AP09,AP03,AP02,AP08,AP10,AP04,error,AP01,AP05,AP06,AP07;FP221C3X14027677,FP221C3X15001463,FP221C3X15001737,FP221C3X15001877,FP221C3X15002168,FP221C3X15002172,FP224D3X14001940,FP224D3X14002922,FP321C3X14000237,FP321C3X14000368;FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP221C-v5.2-build0238,FP224D-v5.2-build0225,FP224D-v5.2-build0225,FP321C-v5.2-build4112,FP321C-v5.2-build4112
Zimmereigenossenschaft;46.14.167.193;8443;FGT60D4613008325;v5.2.3;;14.05.2018;53.00276;unknown;False;;None;None;None;None
BlochPartner-MedHolding;77.245.191.231;8443;FGT60D4613000001;v5.2.4;;26.03.2018;53.00252;unknown;False;;WL_Guest;FP221C3X14021653;FP221C3X14021653;FP221C-v5.2-build490
Econveris AG;46.14.241.254;8443;FGT60D4613010002;v5.2.4;;28.07.2018;53.00274;unknown;False;;None;None;None;None
GetIt;46.14.170.201;8443;FGT60D4615035630;v5.2.4;;06.11.2017;52.00846;unknown;False;;None;None;None;None
Lambrigger;83.173.206.106;8443;FGT60D4615060039;v5.2.4;;17.04.2018;53.00274;unknown;False;;Gast-LTAG,LTAG-Intern,Gast-CO;FP221B3X13024409;FP221B3X13024409;FP221B-v5.4-build0354
Nowak Engineering;81.221.119.176;8443;FGT60D4615034714;v5.2.4;;19.09.2018;53.00288;unknown;False;;nowak_guest,nowak_intern;nowak-ap01;FAP22B3U12005948;FAP22B-v5.0-build0098
Parkinson;178.174.80.58;8443;FG080D3914003187;v5.2.4;;13.11.2018;53.00288;unknown;False;;None;None;None;None
Stoppani;62.2.126.42;8443;FG100D3G12803305;v5.2.4;;16.08.2018;53.00274;unknown;False;;None;None;None;None
Stuber Transporte;82.136.86.110;8443;FWF60C3G12004569;v5.2.4;;26.03.2016;33.00412;unknown;False;;None;None;None;None
ZL-Hauswart;213.3.51.190;8443;FGT60D4615023192;v5.2.4;;11.09.2018;53.00277;unknown;False;;zl-gast,we;AP01,AP02;FP221C3X15022967,FP221C3X15038645;FP221C-v5.2-build0234,FP221C-v5.2-build0234
Bostadel;212.4.68.26;8443;FG100D3G14815052;v5.2.5;;18.11.2018;53.00276;unknown;False;;wlan-terminal,WL01;FP221C3X14022688,FP221C3X14022699;FP221C3X14022688,FP221C3X14022699;FP221C-v5.2-build490,FP221C-v5.2-build490
Dornier;82.136.105.159;8443;FG100D3G13810084;v5.2.5;;28.08.2018;53.00276;unknown;False;;Dornier;Dornier-AP02,Dornier-AP03,Dornier-AP04,Dornier-AP01;FP221B3X13007478,FP221B3X13007978,FP221B3X13008114,FP221B3X13008116;FP221B-v5.2-build0245,FP221B-v5.2-build0245,FP221B-v5.2-build0245,FP221B-v5.2-build0245
Landis-und-Gyr;213.200.250.234;8443;FGT60D4614005144;v5.2.5;;08.07.2018;53.00274;unknown;False;;None;None;None;None
Maler Matter (ITS4Biz);77.245.183.243;8443;FG080D3915003153;v5.2.5;;17.12.2019;53.00288;unknown;False;;mm-intern,mm-gast;Eingang-Halle-EG,FP221C3X15036806,FP221C3X15036808,Besprechungsraum-Mitte;FP221C3X15025959,FP221C3X15036806,FP221C3X15036808,FP221C3X15036825;FP221C-v5.2-build0245,FP221C-v5.2-build0245,FP221C-v5.2-build0245,FP221C-v5.2-build0245
Present Service;82.136.66.117;8443;FGT92D3G15000108;v5.2.5;;06.12.2018;53.00289;unknown;False;;None;None;None;None
CSF Management;46.14.203.83;8443;FGT60C3G13005805;v5.2.6;;16.02.2015;23.0084;unknown;False;;CSF_Guest;CF privat NAS,WLAN_CSF_Guest;FAP14C3X13005017,FAP14C3X13005068;FAP14C-v5.2-build0254,FAP14C-v5.2-build0254
Delta Garage;178.174.14.194;8443;FGT60D4613060701;v5.2.6;;14.04.2019;53.00273;unknown;False;;None;None;None;None
Delta Garage;178.174.14.194;8443;FGT60D4613060701;v5.2.6;;14.04.2019;53.00273;unknown;False;;None;None;None;None
Rietiker Home;85.4.235.93;8443;FG080D3915003200;v5.2.6;;23.02.2019;53.00288;unknown;False;;WLANRietiker;AP01,AP02,error;FP221C3X15039619,FP221C3X15039620;FP221C-v5.2-build0254
Techem;194.209.255.177;8443;FGT5HD3915805204;v5.2.6;;11.03.2018;53.00289;unknown;False;;techem-lan,techem-guest,techem-guest+;FP221B3X13007509,FP221B3X13007884;FP221B3X13007509,FP221B3X13007884;FP221B-v5.2-build0254,FP221B-v5.2-build0254
Vertiqal;158.181.126.47;8443;FGT60D4614053450;v5.2.6;;29.01.2018;53.00276;unknown;False;;verti-wlan;AP-01;FP221C3X14034796;FP221C-v5.2-build0225
ZSV;213.3.8.117;8443;FGT70D3Z15002232;v5.2.6;;10.03.2021;53.00274;unknown;False;;zsv-intern,zsv-guest;AP01,AP02;FP221C3X15038429,FP221C3X15038547;FP221C-v5.2-build0254,FP221C-v5.2-build0254
Cube development gmbh;81.63.184.188;8443;FGT60D4613058991;v5.2.7;;05.07.2018;53.00273;unknown;False;;None;None;None;None
Laubi Innovent AG (ITS4Biz);31.11.10.104;8443;FWF60D4613007861;v5.2.7;;05.11.2018;53.00276;unknown;False;;None;None;None;None
Steimle (firma);46.14.121.42;8443;FGT92D3G16001379;v5.2.7;;14.05.2018;53.00275;unknown;False;;Steimle;FAP223C-Sitzungszimmer,FAP223C-Gang,FAP223C-Holz,FAP223C-Produktion;FP223C3X15001592,FP223C3X15002197,FP223C3X15002213,FP223C3X15002223;FP223C-v5.2-build0245,FP223C-v5.2-build0245,FP223C-v5.2-build0245,FP223C-v5.2-build0245
Steinmann Haustechnik (ITS4Biz);92.105.88.10;8443;FWF40C3912005871;v5.2.7;;08.04.2018;28.00977;unknown;False;;None;None;None;None
Weber-Vonesch Zug;195.49.35.74;8443;FGT60D4614014187;v5.2.7;;06.08.2015;33.00746;unknown;False;;None;None;None;None
ABS Personal;82.136.65.146;8443;FG080D3914001340;v5.2.8;;15.07.2017;50.00217;unknown;False;;;FAP SG,FAP Bern;FAP14C3X14003229,FAP14C3X14003300;FAP14C-v5.2-build0262,FAP14C-v5.2-build0262
Gallo AG Abtwil;62.167.5.5;8443;FGT30D3X15014715;v5.2.8;;10.10.2018;53.00286;unknown;False;;;FP320B3X12000087,error;FP320B3X12000087;
Gallo AG Bussy;62.167.3.190;8443;FGT60D4615035238;v5.2.8;;09.10.2018;53.00276;unknown;False;;None;None;None;None
Gallo AG Hünenberg;212.4.71.114;8443;FG100D3G15813303;v5.2.8;;09.10.2018;53.00275;unknown;False;;gallo-gast;AP-001,AP-002;FP221C3X16008727,FP221C3X16034067;FP221C-v5.2-build0262,FP221C-v5.2-build0262
Gallo AG Tessin;194.230.106.199;8443;FGT60D4615036679;v5.2.8;;09.10.2018;53.00274;unknown;False;;None;None;None;None
Gallo AG Zürich;195.112.78.213;8443;FGT60D4615034306;v5.2.8;;09.10.2018;53.00276;unknown;False;;None;None;None;None
Blinker;82.136.112.58;8443;FGT60C3G12008559;v5.2.9;;06.09.2018;53.00274;unknown;False;;the'blinker wlan;AP01;FP221C3X15038443;FP221C-v5.2-build0262
Sintakt;62.202.38.70;8443;FGT60D4614079275;v5.2.9;;22.06.2019;53.00288;unknown;False;;wlan-sintakt,wlan-guest;AP01;FP221C3X16036294;FP221C-v5.2-build0254
Steinmann Haustechnik (ITS4Biz);46.14.196.246;8443;FGT60D4613002474;v5.2.9;;18.04.2018;53.00288;unknown;False;;steinmann,steinmann-guest;FP221C3X15039639,FP221C3X15039654;FP221C3X15039639,FP221C3X15039654;FP221C-v5.2-build0234,FP221C-v5.2-build0234
Aquamare;95.152.70.19;8443;FWF60D4615018157;v5.4.0;19.02.2019;19.02.2019;53.00275;False;True;;None;None;None;None
CFOxpert;95.152.70.19;8443;FWF60D4615018157;v5.4.0;19.02.2019;19.02.2019;53.00275;False;True;;None;None;None;None
Klaus Architekten;46.14.23.58;8443;FGT50E3U15000656;v5.4.0;09.02.2019;09.02.2019;53.00289;False;True;;None;None;None;None
Roesselet;83.173.193.149;8443;FWF50E3U15000595;v5.4.0;01.05.2019;01.05.2019;53.00289;False;True;;None;None;None;None
TCO;95.152.70.19;8443;FWF60D4615018157;v5.4.0;19.02.2019;19.02.2019;53.00275;False;True;;None;None;None;None
Wascosa;46.126.71.213;8443;FG080D3915003389;v5.4.0;17.02.2019;17.02.2019;53.00288;False;True;;None;None;None;None
Comconsult-Huber;46.126.43.52;8443;FWF60D4614012820;v5.4.1;18.02.2018;18.02.2018;53.00277;False;True;;None;None;None;None
Comconsult-Peter;83.78.62.16;8443;FWF60D4614013240;v5.4.1;18.02.2018;18.02.2018;53.00273;False;True;;petkues;tp-ap02,tp-ap01;FP221C3X15013592,FP221C3X15014383;FP221C-v5.4-build0339,FP221C-v5.4-build0339
Gallo AG Interlaken;194.230.107.156;8443;FGT30E3U16003359;v5.4.1;21.09.2019;21.09.2019;53.00289;False;True;;None;None;None;None
Comconsult-Werder;77.56.63.207;8443;FWF60D4614012617;v5.4.2;18.02.2018;18.02.2018;53.00277;False;True;;None;None;None;None
Hummel & Meyer AG (ITS4Biz);62.202.55.178;8443;FGT60E4Q16005408;v5.4.2;13.09.2019;13.09.2019;53.00289;False;False;;None;None;None;None
Lush;178.174.80.54;8443;FGT60D4613023678;v5.4.2;05.05.2018;05.05.2018;45.00759;False;True;;None;None;None;None
AFL;178.174.79.158;8443;FGT60E4Q16017572;v5.4.3;15.12.2021;09.12.2016;1;False;True;;afl-gast,afl-intern;AP01;FP221C3X16046005;FP221C-v5.4-build0354
CMT;109.164.200.46;8443;FGT60D4615032297;v5.4.3;12.09.2018;12.09.2018;53.00285;False;True;;None;None;None;None
de la cruz beranek;213.180.175.206;8443;FGT60E4Q16023416;v5.4.3;14.02.2022;14.02.2022;53.00289;False;True;;None;None;None;None
Impuls Ibach;81.92.109.38;8443;FG100D3G12808156;v5.4.3;24.11.2018;24.11.2018;53.00277;False;True;;None;None;None;None
